"filename", "language", "C++", "Markdown", "HTML", "JSON with Comments", "JSON", "CMake", "Makefile", "CMake Cache", "TypeScript", "Log", "C", "comment", "blank", "total"
"c:\Projects\Appetito\libs\asio\include\asio\basic_socket_acceptor.hpp", "C++", 950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1690, 112, 2752
"c:\Projects\Appetito\libs\asio\include\asio\basic_socket_iostream.hpp", "C++", 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 54, 408
"c:\Projects\Appetito\libs\asio\include\asio\basic_socket_streambuf.hpp", "C++", 445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 89, 688
"c:\Projects\Appetito\libs\asio\include\asio\basic_stream_file.hpp", "C++", 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 395, 53, 755
"c:\Projects\Appetito\libs\asio\include\asio\basic_stream_socket.hpp", "C++", 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 743, 60, 1190
"c:\Projects\Appetito\libs\asio\include\asio\basic_streambuf.hpp", "C++", 222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 184, 47, 453
"c:\Projects\Appetito\libs\asio\include\asio\basic_streambuf_fwd.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 37
"c:\Projects\Appetito\libs\asio\include\asio\basic_waitable_timer.hpp", "C++", 275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 503, 56, 834
"c:\Projects\Appetito\libs\asio\include\asio\basic_writable_pipe.hpp", "C++", 277, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 303, 52, 632
"c:\Projects\Appetito\libs\asio\include\asio\bind_allocator.hpp", "C++", 515, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 102, 723
"c:\Projects\Appetito\libs\asio\include\asio\bind_cancellation_slot.hpp", "C++", 516, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 107, 102, 725
"c:\Projects\Appetito\libs\asio\include\asio\bind_executor.hpp", "C++", 552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 111, 771
"c:\Projects\Appetito\libs\asio\include\asio\buffer.hpp", "C++", 1434, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 993, 250, 2677
"c:\Projects\Appetito\libs\asio\include\asio\buffer_registration.hpp", "C++", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 41, 329
"c:\Projects\Appetito\libs\asio\include\asio\buffered_read_stream.hpp", "C++", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 41, 286
"c:\Projects\Appetito\libs\asio\include\asio\buffered_read_stream_fwd.hpp", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 7, 26
"c:\Projects\Appetito\libs\asio\include\asio\buffered_stream.hpp", "C++", 191, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 38, 309
